,Name,Industry,Sector,Headquarters,Founded,Notes,Status_Type,Status_State
310,Onida Electronics,Consumer goods,Consumer electronics,Mumbai,1981,Consumer electronics,P,A
311,Oracle Financial Services Software,Technology,Software,Mumbai,1990,Banking software,P,A
312,Ordnance Factory Board,Industrials,Defense,Kolkata,1775,"Defense systems, firearms. Defunct 2021.  Dissolved factories assets transferred to 7 PSUs in 2021.[7]",P,D
313,Oswald Labs,Technology,Software,New Delhi,2016,Accessibility technology,P,A
314,Paramount Airways,Consumer services,Airlines,Chennai,2005,"Airline, defunct 2010",P,D
315,Parle Agro,Consumer goods,Food products,Mumbai,1984,Drinks,P,A
316,Parle Products,Consumer goods,Food products,Mumbai,1929,Food,P,A
317,Patanjali Ayurved,Consumer goods,Ayurvedic producers,Haridwar,2006,"Ayurvedic & herbal products, cosmetics, personal products",P,A
318,Pawan Hans,Consumer services,Airlines,Noida,1985,Helicopter services,S,A
319,Pentamedia Graphics,Consumer services,Broadcasting & entertainment,Chennai[8],1976[8],"Animation studio, digital services",P,A
320,Persistent Systems,Technology,Software,Nagpur,1990,"Software, consulting",P,A
321,Petronet LNG,Energy,Oil refining & marketing,New Delhi,1998,"Liquefied natural gas importer, joint of Oil and Natural Gas Corporation, GAIL, Indian Oil Corporation & Bharat Petroleum",S,A
322,Pidilite Industries,Chemicals,Specialty chemicals,Mumbai,1959,"Adhesives, chemicals",P,A
323,Pine Labs,Technology,Consumer digital services,Noida,1998,Merchant payment,P,A
324,Piramal Group,Health care,Pharmaceuticals,Mumbai,1988,Pharma,P,A
325,Power Finance Corporation,Financials,Financial services,New Delhi,1986,State financing,S,A
326,Power Grid Corporation of India,Industrials,Industrial suppliers,Gurugram,1989,State power transmission infrastructures,S,A
327,PTC India,Financials,Financial services,New Delhi,1999,State power trading and financial solution,S,A
328,Praj,Chemicals,Specialty chemicals,Pune,1983,"Ethanol plant, sugar processing",P,A
329,Punj Lloyd,Industrials,Construction,New Delhi,1998[9],,P,A
330,Punjab & Sind Bank,Financials,Banks,New Delhi,1908,Bank,S,A
331,Punjab National Bank,Financials,Banks,New Delhi,1894,Bank,S,A
332,Protean eGov Technologies,Technology,Consumer digital services,Mumbai,1995,Digital Public Infrastructure,P,A
333,PVR INOX,Consumer services,Broadcasting & entertainment,Gurugram,1997,Movie theaters,P,A
334,Raheja Developers,Real estate,Real estate holding & development,New Delhi,1990,Real estate,P,A
335,Rail India Technical and Economic Service,Industrials,Engineering and contracting services,Gurugram,1974,"Consulting, part of Indian Railways",S,A
336,Rajesh Exports,Basic materials,Gold mining,Bengaluru,1989,"Gold mining, refining & jewellery retailer",P,A
337,Raheja Mindspace,Industrials,Business support services,Mumbai,1956,Industrial parks,P,A
338,Ramco Systems,Technology,Software,Chennai,1992,Software,P,A
339,Ranbaxy Laboratories,Health care,Pharmaceuticals,Gurugram,1961,Pharma,P,A
340,Rapido,Technology,Consumer digital services,Bengaluru,2015,Digital bike cabs platform,P,A
341,Rashtriya Chemicals & Fertilizers,Chemicals,Fertilizers,Mumbai,1978,Fertilizers,S,A
342,Rashtriya Ispat Nigam,Basic materials,Iron & steel,Visakhapatnam,1982,Steel,S,A
343,Raymond Group,Basic materials,Textile products,Mumbai,1925,Textiles,P,A
344,REC Limited,Financials,Financial services,New Delhi,1969,Electrical infrastructure financing,S,A
345,Rediff.com,Technology,Consumer digital services,Mumbai,1996,"Information, shopping portal",P,A
346,Reliance Capital,Financials,Asset managers,Mumbai,1986,Part of Reliance Group,P,A
347,Reliance Communications,Telecommunications,Telecommunications service providers,Mumbai,2002,Part of Reliance Group,P,A
